#OTU ID,C18p_CWB1_5ul_BD8_01_7590,C18p_MRM1_5ul_GD1_01_7522,C18p_CWB3_5ul_BE2_01_7592,C18p_FPP2_5ul_RC1_01_7635,C18p_FWB2_5ul_BD6_01_7587,C18p_MWB2_5ul_GC1_01_7507,C18p_RPP1_5ul_GE5_01_7543,C18p_RPB2_5ul_BA8_01_7557,C18p_BRM1_5ul_GC6_01_7518,C18p_FRR2_5ul_RA8_01_7616,C18p_CRR1_5ul_RB2_01_7619,C18p_BRM2_5ul_GC7_01_7519,C18p_SPB2_5ul_RC7_01_7644,C18p_BWB3_5ul_GB7_01_7504,C18p_RRR2_5ul_GD5_01_7528,C18p_BRR1_5ul_GD7_01_7531,C18p_CPP2_5ul_RC4_01_7639,C18p_MRR1_5ul_GE2_01_7535,C18p_MPB1_5ul_BB5_01_7564,C18p_SRM1_5ul_BE3_01_7598,C18p_SPP3_5ul_RB7_01_7632,C18p_BPP3_5ul_BA3_01_7549,C18p_BWB1_5ul_GB5_01_7502,C18p_BRM3_5ul_GC8_01_7520,C18p_MRM3_5ul_GD3_01_7524,C18p_SRR2_5ul_RA5_01_7612,C18p_BWA1_5ul_GA4_01_7489,C18p_CWA3_5ul_BD1_01_7579,C18p_RPP3_5ul_GE7_01_7545,C18p_RPB3_5ul_BB1_01_7558,C18p_BWB2_5ul_GB6_01_7503,C18p_CPB3_5ul_RD6_01_7653,C18p_CWA1_5ul_Rerun_BC7_01_7679,C18p_FWA1_5ul_BC4_01_7573,C18p_SPB3_5ul_RC8_01_7645,C18p_MPB2_5ul_BB6_01_7565,C18p_CRM3_5ul_RA3_01_7608,C18p_RRR1_5ul_GD4_01_7527,C18p_BWA2_5ul_Rerun_GA5_01_7684,C18p_SRM3_5ul_BE5_01_7600,C18p_RWA3_5ul_GA3_01_7487,C18p_RRM2_5ul_GC4_01_7515,C18p_MPP3_5ul_Rerun_BA6_01_7676,C18p_FWB1_5ul_BD5_01_7586,C18p_SWB2_5ul_BD3_01_7583,C18p_SWA3_5ul_RerunSet_BC3_01_7667,C18p_CRR3_5ul_RB4_01_7621,C18p_MRM2_5ul_GD2_01_7523,C18p_CRR2_5ul_RB3_01_7620,C18p_RWB1_5ul_GB2_01_7498,C18p_SRR1_5ul_RA4_01_7611,C18p_FRM3_5ul_BE8_01_7604,C18p_FRR3_5ul_RB1_01_7617,C18p_SWB1_5ul_BD2_01_7582,C18p_FPB3_5ul_RD3_01_7649,C18p_RWB2_5ul_GB3_01_7499,C18p_MRR2_5ul_GE3_01_7536,C18p_MRR3_5ul_GE4_01_7537,C18p_RRM1_5ul_GC3_01_7511,C18p_FWA3_5ul_BC6_01_7575,C18p_CPP3_5ul_RC5_01_7640,C18p_MWA3_5ul_GB1_01_7495,C18p_MPP2_5ul_BA5_01_7552,C18p_BRR2_5ul_GD8_01_7532,C18p_BPB1_5ul_BB2_01_7560,C18p_RRM3_5ul_GC5_01_7516,C18p_BPB2_5ul_BB3_01_7561,C18p_CRM2_5ul_RA2_01_7607,C18p_MPB3_5ul_BB7_01_7566,C18p_FRR1_5ul_RA7_01_7615,C18p_SPP1_5ul_RB5_01_7630,C18p_BPP1_5ul_BA1_01_7547,C18p_FWA2_5ul_BC5_01_7574,C18p_SWA1_5ul_RerunSet_BC1_01_7665,C18p_BWA3_5ul_GA6_01_7491,C18p_FPP1_5ul_RB8_01_7634,C18p_CPB2_5ul_RD5_01_7652,C18p_CWB2_5ul_BE1_01_7591,C18p_FPP3_5ul_RC2_01_7636,C18p_MWB3_5ul_GC2_01_7508,C18p_SWB3_5ul_BD4_01_7584,C18p_BRR3_5ul_GE1_01_7533,C18p_RPP2_5ul_GE6_01_7544,C18p_CPP1_5ul_RC3_01_7638,C18p_MWB1_5ul_GB8_01_7506,C18p_SRM2_5ul_BE4_01_7599,C18p_BPP2_5ul_BA2_01_7548,C18p_SPB1_5ul_RC6_01_7643,C18p_FPB1_5ul_RD1_01_7647,C18p_RWA2_5ul_GA2_01_7486,C18p_SRR3_5ul_RA6_01_7613,C18p_RWB3_5ul_GB4_01_7500,C18p_FWB3_5ul_BD7_01_7588,C18p_BPB3_5ul_BB4_01_7562,C18p_RPB1_5ul_BA7_01_7556,C18p_SWA2_5ul_RerunSet_BC2_01_7666,C18p_MPP1_5ul_BA4_01_7551,C18p_FPB2_5ul_RD2_01_7648,C18p_RWA1_5ul_GA1_01_7485,C18p_MWA1_5ul_GA7_01_7493,C18p_CWA2_5ul_BC8_01_7578,C18p_FRM1_5ul_BE6_01_7602,C18p_SPP2_5ul_RB6_01_7631,C18p_RRR3_5ul_GD6_01_7529,C18p_CRM1_5ul_RA1_01_7606,C18p_CPB1_5ul_RD4_01_7651,C18p_FRM2_5ul_BE7_01_7603,C18p_MWA2_5ul_GA8_01_7494
398.3421_344.2714,1573640,3940330,1312470,1751600,1026840,5434910,2232020,6085620,4245330,678442,2782040,2082940,1689280,1597670,3239610,4922900,1328710,4586640,3941150,2114570,1480210,1814320,2925520,1781650,3830210,1824030,3810320,1134970,2766480,2238460,3831970,882701,1398100,2326900,3294270,3760540,1647410,2451690,4199440,2094950,1855350,1774630,3675450,971594,1741740,2359060,2046400,3412580,1928050,1575520,2169970,1767250,1086400,1821720,2319360,1585220,4848550,4220920,2259580,2193920,1231070,4970950,4115920,4386910,4663780,1688950,2076010,1736290,4328770,726251,3599880,2492330,1907950,2230190,3923330,2367710,811828,1345780,4461420,3142180,1766990,4639590,2160110,1297090,4988710,2092560,2818280,2493230,2646150,1820840,1918270,1499920,961725,3026160,2116080,2163360,2418650,2059500,1678860,3697920,1113250,1611690,1768900,4072700,2217470,956180,1743010,5414090
132.1028_ 32.7029,1296540,4999620,801092,5427370,5894740,4928030,7147770,5136720,6044540,7092720,1394260,4979210,4167420,5099220,4888260,4756770,4744870,7089030,5059820,3706910,4525280,4492920,5092470,6083100,3644230,5069660,5571440,3170960,6914850,4825510,5005350,1190340,1381140,5530250,4359530,4696940,2261500,5006680,2113070,4717180,4890720,7694070,3444500,6472220,3882000,4531170,2980570,4895720,1654160,6970270,5358170,7869070,5894820,3691280,3787180,7226590,6918150,6466740,7074500,4515520,3644980,4294820,4918120,5745880,5891070,6390810,5401630,1792460,4716140,7081870,3404140,5239150,5217700,4359560,5427090,5373390,1036300,1285400,5468040,4900590,4933700,5193630,7810560,3602040,4701540,5034410,5225020,4214530,3881090,4773680,5136380,7050360,6401810,5161540,5766750,3936240,4977690,3441490,4870160,4532010,3193230,7239660,4039180,3563540,2328000,1268650,7296710,4795220
644.0101_  9.6948,433726,468066,371857,390931,418667,274085,576447,571984,559370,379064,371904,519141,407171,252236,509253,524611,386618,502138,544510,480401,380498,536244,297476,528427,465553,432012,267919,493097,587963,541011,271778,344310,440030,448226,368264,474044,469960,511167,500639,498972,237246,446778,451052,429303,444579,499226,341698,474044,336587,272639,507056,535576,375357,471153,353946,286659,403100,379628,246090,464861,379019,205902,500501,440849,526343,442503,470459,504178,455841,385943,392022,599492,474848,543281,263951,407000,352881,420193,381134,238462,415841,436575,568570,387587,234870,488267,548568,400793,409744,201658,387950,238210,402298,535843,515808,544597,606392,407205,193676,261232,493321,502524,383633,456636,544089,409110,442870,243670
188.0712_172.0063,817979,29116400,817291,10670000,11282500,168106,22054000,21888400,24664700,14499700,3312460,15772300,16385600,19441500,17775800,27661400,5082180,38444600,17131700,17832700,16373000,20420500,18594300,26902200,31082000,27370900,4073360,3869180,25404600,18508200,20219200,824302,4161180,12582300,13470300,11291800,1040190,15922200,2452860,19145100,8919720,33195000,17216700,11289900,15011600,13645800,3409950,36259500,3270020,33938600,28386100,22066000,14609900,15401000,11727900,40317600,35510800,42494500,40871300,11547500,4907160,7736260,26766200,26285500,15488900,42124700,14069700,1002670,13793300,16585300,72104.29688,21379300,10701700,13475400,148639,12195900,1141970,955108,11762200,16292800,17499200,13495200,17670700,4917640,24982100,17604700,21140900,16037600,10564500,9259290,28715800,37520900,11092000,13766200,20705500,17635300,38039600,13638600,12634700,8707270,4294240,20044600,14571500,16694900,1000170,895809,17792300,7869100
868.5081_344.8368,4908230,11760400,4025250,7410870,2950480,11255500,8507760,8564770,8289540,4824280,7831420,10744000,10770500,3768880,10563500,9768280,5115890,11821100,14540000,10799200,7590120,8142100,4764270,9818450,11151000,10438400,12190100,4156880,8901350,8211850,4750890,4777170,2746150,7358790,10327300,10986800,6157840,9523760,13734900,9811170,5913370,8013990,10552000,4085880,11081200,8797520,7903700,10029300,7336140,4623200,9498290,8301590,9135680,12210500,8516180,4506970,13088400,14073900,4749760,7599560,5333170,10789500,10893900,10553300,12555100,8348200,8999180,5917640,11201300,8962340,7920480,9558440,7225120,8725600,11611800,7891670,3895260,5203380,7645020,11776600,11740100,10511300,9223320,6019670,13617300,10508300,8577850,9336230,8500560,4908850,9660470,4285890,2742010,9710500,8037410,8269770,11560900,7812540,6295320,9410000,4145310,6608990,7666560,10588600,6827540,3069170,7836320,9797900
706.4515_347.4988,347086,533346,273711,345877,117449,545441,503333,383389,533744,145484,397383,512340,490617,456894,561956,463366,310918,728249,436024,509001,404818,427073,359037,289339,541756,459296,881542,254806,440994,457893,363629,168813,233364,313466,503517,505861,217279,753878,655361,472334,427694,411626,534401,220726,446556,413078,348628,587712,284948,497853,508825,312911,125045,449330,364668,387246,729833,899403,387710,356591,302666,570128,534389,541411,435671,354312,459772,193310,437751,168930,442024,487470,312410,426075,854496,378483,214593,313859,305051,581648,451698,473471,221046,240680,267540,506938,426626,458768,360654,418003,477312,404689,123648,379062,443883,530036,495815,335366,439286,493659,262587,336986,420135,449423,388734,236476,334128,570149
266.1640_238.1744,1324610,5094600,2026590,2667110,2980460,3194580,6040170,2665370,4820810,1495600,946054,5233470,5318830,5098010,2702690,4053690,2653530,4914550,3273000,6453780,2806110,4348590,7484810,3639960,6287760,5586300,4589390,915052,5886930,5625550,4991760,989225,1556980,1512580,4078970,3850320,899391,2813380,5382170,3814710,2723760,2645700,5376380,2607260,5133590,2301280,1994920,5348090,1296780,1535340,1732920,1399790,40136.5,5205840,4534680,2686640,3937160,4850820,5228940,2757620,2409950,2731530,4901610,1630800,5211970,5041900,6614050,1366640,4024200,2468850,3343180,4318610,7009110,4093310,3035380,9212990,3935080,1351720,4658120,4784580,5307250,2787860,6828460,2519690,9819980,3142160,5045010,5119160,3922970,2991130,5283470,1787160,2934360,3757000,3205940,3846390,5357890,2941750,2715980,2989110,981064,1399080,2882920,3036240,762293,1387080,1783540,2734680
136.0757_ 37.4408,167629,3097930,235677,1990370,1480590,3462870,2501720,2290200,1855590,1092430,250440,1762550,2057690,2604410,2083590,1768950,727841,2660670,2179120,1851050,2658240,2664940,2536890,1886740,2537840,1939180,496622,343186,2326210,2539990,2625470,75795.29688,177657,1153090,1479810,2289790,213985,2083370,149212,1411660,1437240,3084040,632700,1456310,2231910,2320770,344203,2952300,277557,3510100,2666930,1335660,973100,1852040,1213200,3562100,2866060,2500420,3138840,897849,666343,792016,4119810,2568560,1546150,3185120,943168,125266,2042860,1124990,1548140,2435810,1226280,2331220,511012,2027110,109561,160504,1863590,3683180,2146810,2406460,2364730,578146,2716750,1765150,2541780,2096440,1177920,1250750,2727640,3378100,1403890,1611070,2150200,2255420,3305370,1295690,1111080,1123300,476224,1397660,1446100,1390550,132395,76955.10156,1391130,1256960
852.5145_346.6689,7119880,12124800,6433520,10125500,5326500,9131970,12974700,11182600,12169600,7732300,11430500,11832200,14479400,7286220,12008500,8385120,9290540,17276800,11931200,12427000,12325000,9652500,7285370,10149800,12296100,10425900,13111000,8791560,14488600,10059200,7328880,5613740,5284390,9683210,13015900,12117300,7769920,11860800,21568100,12490100,7043980,7444470,15360400,5205910,11575500,10626700,10093100,14571200,10015400,5228640,11463700,9367790,8198130,10869900,11707000,5080670,16898000,15823700,7214100,9330750,8872520,10008200,14005100,6976440,11911400,7872680,12079500,7719110,11751600,7765560,10668500,9906840,9491660,11578700,12118100,11640900,5412570,6446820,10580200,9865990,11641600,7805850,13246800,9700180,9128360,12522300,14432200,14975600,11900200,7193730,10415400,4956850,5270260,12553200,10052500,11723700,14243800,13576400,7041140,10278700,6219690,9123770,12200000,10389800,9077930,7342510,8852300,10018200
163.0404_251.3158,874545,7424730,727949,4635720,901096,7558070,3586290,3712490,4678780,2731190,2671850,5419670,5769380,2179260,8746850,7245410,1831380,5419490,8539150,5417920,4813440,6895800,5137370,5848360,6075780,6701050,4442760,524308,3574170,3176930,3318010,1064490,363507,1788670,4384150,7004370,1656040,3275420,2886320,7061540,850968,3015400,10505900,1296130,5673460,4275980,1253110,6873030,1216300,844669,7308260,2990640,3339980,2567760,5054240,760296,8084770,5427760,3889720,1761340,1246030,4305760,7386260,5944850,4633410,3353640,5910090,1799210,9393380,2448350,4849650,9278530,1898760,4363200,4596890,3708080,1700920,117391,3176150,3204090,2961960,6491680,3695610,1962890,3490230,5385100,4000830,6157720,3072130,1242160,7204590,816654,879769,8815680,8525360,4066180,1991510,3105770,962894,4584750,364725,2355920,5253800,3743860,1693500,1131690,2450490,4505480
