CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
151	1125	7	0.8177	-78.045
125	872	7	0.7108	-18.010
82	473	7	0.8669	15.995
8	1078	7	0.9191	-0.000
286	350	7	0.8138	52.030
997	1041	7	1.0	0.000
366	805	7	0.8592	-31.041
125	246	7	0.7061	-15.981
11	82	7	0.8669	-15.995
997	1114	7	0.699	-119.047
286	457	7	0.856	51.043
125	366	7	0.8084	-46.006
366	1089	7	0.8096	-45.045
125	196	7	0.738	-87.067
125	248	7	0.8517	-28.979
151	208	7	0.8177	-78.046
1041	1114	7	0.699	-119.048
740	997	7	0.9311	-0.000
130	447	7	0.8401	46.006
148	1125	7	0.7121	-94.040
208	657	7	0.8321	78.045
285	576	7	0.7433	-213.071
196	674	7	0.9452	-0.000
366	1163	7	0.8226	46.006
248	1163	7	0.7769	28.979
285	286	7	0.8321	-52.029
130	740	7	0.8425	-31.041
304	1163	7	0.7376	28.979
148	657	7	0.7371	-15.995
285	1109	7	0.7036	29.975
125	130	7	0.8163	-46.006
740	1089	7	0.7498	-14.004
130	473	7	0.7799	-15.995
740	1163	7	0.7096	77.047
208	1125	7	1.0	0.001
576	701	7	0.7433	213.071
10	11	7	0.8358	-17.027
1125	1161	7	0.967	-87.042
208	1114	7	0.9721	14.989
192	246	7	0.8052	15.995
82	723	7	0.8669	15.995
286	811	7	0.7836	52.031
366	473	7	0.7765	-15.995
8	246	7	0.7356	15.994
285	701	7	1.0	-0.001
11	723	7	1.0	-0.000
576	1109	7	0.7553	243.047
811	1109	7	0.6642	29.974
196	449	7	0.9002	-15.995
125	447	7	0.9436	0.000
148	1089	7	0.6874	25.992
350	811	7	0.8874	0.001
148	805	7	0.6725	39.996
447	1163	7	0.9397	0.000
1042	1090	7	1.0	0.000
366	447	7	0.8318	46.006
350	576	7	0.7303	-213.072
151	1114	7	0.8687	-63.056
8	192	7	0.9191	-0.000
1089	1114	7	0.6917	-105.043
701	809	7	0.7239	29.976
125	304	7	0.7944	-28.979
285	457	7	0.7658	-0.987
148	151	7	0.7481	-15.995
1114	1125	7	0.9721	-14.989
740	1041	7	0.9311	0.000
130	805	7	0.8509	-31.041
148	1114	7	0.7561	-79.051
130	997	7	0.8591	-31.041
192	1078	7	1.0	0.000
285	809	7	0.7239	29.976
91	674	7	0.9033	15.995
11	473	7	1.0	0.000
473	723	7	1.0	-0.000
809	811	7	0.7245	-29.974
366	1041	7	0.8656	-31.040
493	723	7	0.7247	39.010
196	1163	7	0.6955	87.068
148	997	7	0.712	39.996
805	1163	7	0.7038	77.047
449	674	7	0.9065	15.995
805	997	7	0.9619	-0.000
657	1161	7	0.8533	-165.087
10	723	7	0.8358	-17.027
130	1163	7	0.8305	46.006
447	872	7	0.7049	-18.010
130	366	7	0.9896	0.000
148	1041	7	0.712	39.996
740	805	7	0.9367	0.000
366	997	7	0.8656	-31.041
1041	1168	7	0.6678	-57.533
805	1168	7	0.655	-57.533
1090	1168	7	0.6793	-26.029
997	1168	7	0.6678	-57.533
576	811	7	0.6949	213.073
809	1109	7	0.6781	-0.000
457	809	7	0.6642	30.962
